CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04;Ativos Financeiros ao Custo Amortizado;1514691697.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;21528323.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04.01;Aplicações em Depósitos Interfinanceiros;55941204.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.02;Aplicações no Mercado Aberto;128038520.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04.02;Aplicações no Mercado Aberto;205589826.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.03;Títulos e Valores Mobiliários;47261092.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04.03;Títulos e Valores Mobiliários;46923281.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.04;Operações de Crédito;1133069621.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04.04;Operações de Crédito;1138175308.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04.05;Provisão para Perdas Esperadas Associadas ao Risco de Crédito;0.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.06;Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2026-03-31;1.02.04.06;Operações de Arrendamento;0.0000000000;S
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2025-12-31;1.02.04.07;Provisão para Perdas Esperadas Associadas ao Risco de Crédito de Operações de Arrendamento;0.0000000000;S
