CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03;Contas a Receber;509705.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03;Contas a Receber;503155.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03.01;Clientes;490630.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03.01;Clientes;467094.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03.01.01;Contas a Receber;490630.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03.01.01;Contas a Receber;467094.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03.02;Outras Contas a Receber;19075.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03.02;Outras Contas a Receber;36061.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.03.02.01;Contas a receber com partes relacionadas;19075.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.03.02.01;Contas a receber com partes relacionadas;36061.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.04;Estoques;973788.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.04;Estoques;1081477.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.05;Ativos Biológicos;0.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.06;Tributos a Recuperar;65324.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.06;Tributos a Recuperar;100227.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.06.01;Tributos Correntes a Recuperar;65324.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.06.01;Tributos Correntes a Recuperar;100227.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.06.01.01;Impostos e contribuições a recuperar;65324.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.06.01.01;Impostos e contribuições a recuperar;100227.0000000000;N
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-12-31;1.01.07;Despesas Antecipadas;62936.0000000000;S
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-12-31;1.01.07;Despesas Antecipadas;251384.0000000000;S
