CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;3.01;Receitas de Intermediação Financeira;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;3.01;Receitas de Intermediação Financeira;293379482.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;3.01.01;Operações de Crédito;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;3.01.01;Operações de Crédito;172134172.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;3.01.02;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;3.01.02;Operações de Arrendamento Mercantil;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;3.01.03;Resultado de Operações com TVM;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;3.01.03;Resultado de Operações com TVM;114289441.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;3.01.04;Resultado de IFD;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;3.01.04;Resultado de IFD;-3041823.0000000000;N
