CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01;Caixa Líquido Atividades Operacionais;841282.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01;Caixa Líquido Atividades Operacionais;819334.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01;Caixa Gerado nas Operações;1618040.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01;Caixa Gerado nas Operações;1512999.0000000000;S
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.01;Resultado do exercício;-55950.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.01;Resultado do exercício;9496.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.02;Depreciação e amortização;1062082.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.02;Depreciação e amortização;1103707.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.03;Baixa de parcerias agrícolas a pagar / Direito de uso;-948.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.03;Baixa de parcerias agrícolas a pagar / Direito de uso;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.04;Resultado na alienação de imobilizado;5969.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.04;Resultado na alienação de imobilizado;946.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.05;Resultado de equivalência patrimonial;-8412.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.05;Resultado de equivalência patrimonial;-15529.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.06;Reversão (Provisão) para perdas e contingências;23666.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.06;Reversão (Provisão) para perdas e contingências;-17231.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.07;Amortização de custos de transação de empréstimos;9209.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.07;Amortização de custos de transação de empréstimos;11390.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.08;Reversão impairment de lavoura de cana-de-açúcar;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.08;Reversão impairment de lavoura de cana-de-açúcar;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.09;Provisão com instrumentos derivativos;251832.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.09;Provisão com instrumentos derivativos;-299619.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.10;Variação do valor justo do ativo biológico;-44603.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.10;Variação do valor justo do ativo biológico;347097.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.11;Valor justo de cbios;-10608.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.11;Valor justo de cbios;17180.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.12;Juros sobre contratos de direitos de uso e arrendamentos a pagar;111700.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.12;Juros sobre contratos de direitos de uso e arrendamentos a pagar;107340.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.13;Provisão para estoque de lenta movimentação;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.13;Provisão para estoque de lenta movimentação;-581.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.14;Provisão para variação cambial;9973.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.14;Provisão para variação cambial;-4146.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.15;Ajuste a valor presente;-2171.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.15;Ajuste a valor presente;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.16;Provisão para Imposto de Renda e Contribuição Social correntes e diferidos;-65934.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.16;Provisão para Imposto de Renda e Contribuição Social correntes e diferidos;-67136.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.17;Ganho por compra vantajosa;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;6.01.01.17;Ganho por compra vantajosa;0.0000000000;N
02.635.522/0001-95;2026-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Fluxo de Caixa (Método Indireto);REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;6.01.01.18;Atualização financeira de depósitos judiciais;-3665.0000000000;N
